,Timestamp,Weekday,Embedded_text,Emojis,Comments,Likes,Retweets,Tweet URL
14,2022-05-01 21:19:05,Sunday,"지민아, 좋은 아침이야 어제 지민이가 추천해준 책을 한 번 읽어보려고 주문했어! 사실 자기계발서류는 별로 좋아하진 않는데 지민이의 추천을 통해 나의 세계가 좀 더 넓어지면 더 좋을 것 같아
오늘도 많이 행복한 하루를 보냈으면 좋겠다, 이왕이면 컴백 스포도 좀 뜨구.... #유지민은봐라
9",😉 💙,0,0,9,https://twitter.com/pppharmppple/status/1520875480186241024
15,2022-05-01 04:43:06,Sunday,"친구에게 추천받고 이후로 좋아하는 사람에게 선물하게 된 책 <긴긴밤>
1
2",,0,1,2,https://twitter.com/kimkyo_work/status/1520624832026910720
16,2022-05-01 13:42:40,Sunday,"책방 사춘기
@sachungibook
 사장님께 추천 받은 '여름에 관한 그림책' 중 가장 먼저 골랐는데 이명애 작가님의 다른 책들도 읽고 싶어졌다. 정말 그림책은 '같이 읽기'가 가능한 기쁨이 무척 크고 같이 읽는 사람의 다른 해석도 무척 재밌다. 그림책은 시 읽기 만큼이나 다양한 해석이 가능한 것 같아.
트윗 인용하기
단밤
@wonmarron
 · 5월 1일
오늘 그림책 ""휴가""를 응정님과 읽었다. 그림 속에 활자화되지 않은 여러 내용을 읽어 내는 것이 무척 재밌었다. 
문득 그림책은 함께 읽을 수 있는 거의 유일한 책이라는 사실에 놀랐다.
(출처: http://aladin.co.kr/m/mproduct.asp…)
1
6",🪴,0,1,6,https://twitter.com/and_so_0n/status/1520760619867459584
17,2022-05-01 07:17:26,Sunday,"가좍님 추천으로 봄의 저~주라는 책을 읽었는데 먼가 좀 윤낫스러워서 몰입해버린... 속을 숨기는 남주는 윦너 같았고 죄책감에 시달리는 여주는 어느정도 내가 생각하는 솨니 캐해에 상당히 부합하는 거 같아씀 아마 윤낫으로 각색한다면 좀더 극단적인 상황까지 가지 않았을까 하는 생각
3",,0,0,3,https://twitter.com/YNAdeez8/status/1520663669897859073
18,2022-05-01 14:33:07,Sunday,"오라클 책이나 강의 추천 부탁드립니다
1",,0,1,0,https://twitter.com/gwailcodes/status/1520773314666369024
19,2022-05-01 15:53:32,Sunday," ☆트위터 교류해시 추천☆
──────────────────
나르님은 #마음한_트친에게_책_펼쳐서_아무_문장_써준다 ♪
https://gaeyou.com/t/?262901

오늘 점심 이후에  
있는 대본집 중에 해볼게요! 아니면 원작들!
1
1
3",➡ 🐒 💨,1,1,3,https://twitter.com/H_nanana_/status/1520793550228647936
20,2022-05-01 10:55:23,Sunday,"앞으로 트친님들의 책추천은 무조건 신뢰하고 곧장사야게따.. 저 책알못이라 추천많이해주세요.. 읽는거만 읽어서 님들이 쑤셔넣어줘야함
1",,0,0,1,https://twitter.com/yASMqEVEZDj4U4m/status/1520718520073416705
21,2022-05-01 03:38:02,Sunday,"추천받은 책 읽는중 초반인데 
""자기 생존 조건을 자기 손으로 파괴해서 멸망하게 된 걸 타살이라고 하긴 어렵잖아.""
뼈에 박히는중 인류는 자살중이야...
1
2",,1,0,2,https://twitter.com/riri_sinyageun/status/1520608459406049280
22,2022-05-01 13:08:06,Sunday,"통판으로 실물 책 사시는 거 추천드리겠습니다. 웹으로 보면 컴 사양 때문에 화면 깨지는 거라든지... 여러저러 문제로 만화는 보기가 힘들더라....
1
2",,1,0,2,https://twitter.com/kimmseung/status/1520751919895138306
23,2022-05-01 04:17:08,Sunday,"아부지가 나 책 읽는 거 보고 당신도 읽고 싶어졌는지 도서관 가서 엄청 빌려보시더라고 근데 에세이밖에 안 읽어봤고 소설은 어려워서 뭘 읽어야 할지 모르겠어서 추천해달라는 거임 내가 좋아하는 책은 쌕쓰가 너무 많이 나와서 권하기 좀 그렇잖아 ㅎㅎ;;
1",,0,0,1,https://twitter.com/yxxxxxxh/status/1520618296659570689
24,2022-05-01 03:31:17,Sunday,찌민이 추천책이나 사볼까,,0,0,0,https://twitter.com/Byeok_ae/status/1520606757868826625
25,2022-05-01 15:13:57,Sunday,"소설책 추천 해주세요
1
1",,1,0,1,https://twitter.com/aYoinHWjCFzlwFZ/status/1520783589658759169
26,2022-05-01 01:07:49,Sunday,"พี่น่าเขามาสวัสดีพฤษภาคม
푸릇푸릇한 5월이 왔어어어ㅓ어
산뜻한 5월을 맞이해서 책 추천 할겡
<오늘은 당신의 남은 인생의 첫날이다> 내가 이번에 미국 오고 갈때 비행기에서 읽은 책인데 너무 좋아서 추천하고 싶었엉
… 5월 첫날도 행복하게 보내",🍀 🌿 🌱 💚 🍀,0,0,0,https://twitter.com/_alwayswithyoux/status/1520570655611056128
27,2022-05-01 18:10:30,Sunday,윈이나 책 추천좀 해줘,💐,0,0,0,https://twitter.com/smallflowwer/status/1520828019430289413
28,2022-05-01 07:46:43,Sunday,안산맞춤정장 가죽슈즈 백산이 노지희 민스 수학솔루션 텝스책 철리벳 엔조주얼리 등이아픈이유 선물용잡곡 영문스템프 고학력 캐노퍼스 회보디자인 판교변호사 대만가을여행 파이썬책추천,,0,0,0,https://twitter.com/NvXAtrx864/status/1520671039180926977
29,2022-05-01 15:58:29,Sunday,난다 걸스 멜비타매장 담터꿀생강차 복숭아향홍차 월넛재단 개정부 스마토테이프 그림실사 군무원책추천 궁중태교 청담역요가 밤식빵팬 재은 BO 부여카페 새용품도매 풀러그,,0,0,0,https://twitter.com/WyrP2ratw/status/1520794796482531328
30,2022-05-01 01:31:38,Sunday,기차에서 읽을 만한 책 추천받고 있다. 허술한 걸 권했다간 가만 두지 않아.,,0,0,0,https://twitter.com/RuthvenM/status/1520576649993277440
