제목,업로드일,주소
[미싱 일기] 가을 자매룩 (언니 옷) 레이어드 원피스 만들기,2021-11-10.,https://www.youtube.com/watch?v=R6IggDq3odk
"쇼핑몰운영자가 추천하는 원피스,스커트에 잘 어울리는 인생 운동화 5가지/착장에서 코디컷까지",2022-2-2.,https://www.youtube.com/watch?v=WfPaxz-eDt0
구체관절인형 옷 만들기 MSD 뷔스티에 원피스,2021-7-28.,https://www.youtube.com/watch?v=jIMo3_gFmcw
"뷔스티에 조끼, 반팔 세트, 니트 반팔, 롱 원피스 여자 여름 옷 추천,코디",2022-4-27.,https://www.youtube.com/watch?v=PH2vtN3Jk6c
DIY 리폼 원피스 | 안입는 원피스를 리폼해서 끈나시 여름원피스로 만드는 방법ㅣHow to make a Reform Dress [천가게TV],2021-6-23.,https://www.youtube.com/watch?v=4IA-ILVZ6ZM
미쏘(MIXXO) l 2021 여름 원피스 👗,2021-6-30.,https://www.youtube.com/watch?v=clagGV3IzHE
[미싱 일기] 7살 차이 자매룩 /뷔스티에 원피스 기본 버전 만들기,2021-7-22.,https://www.youtube.com/watch?v=JvflPrEvNHM
린넨 뷔스띠에원피스 / Linen Bustier Dress #뷔스띠에 #bustier #끈원피스,2021-10-16.,https://www.youtube.com/watch?v=DBpOz3P4bMw
데일리앤 플라워 브이넥 랩 뷔스티에 롱 원피스 플로드,2022-4-1.,https://www.youtube.com/shorts/BDrgk_6oE64
"행복여 | 애니 셔링 브이 라인 플레어 뷔스티에 청 데님 원피스 | 22,000원 | 라이브방송 | 봄원피스 | 데일리 원피스 코디",2022-3-4.,https://www.youtube.com/shorts/Q3l_jfXziho
원피스 맛집,2021-9-3.,https://www.youtube.com/shorts/lpclD8OxkLo
데일리앤 여름 루즈핏 롱 뷔스티에 나시 원피스 이시스,2022-5-9.,https://www.youtube.com/shorts/JNrhYMGRzbM
뷔스티에 코바늘 뜨기2  상세설명!!! 예쁘게 만들어 입어요🌵🏖[토리 뜨개방],2021-6-1.,https://www.youtube.com/watch?v=2Q-ULEDzEJA
실크 뷔스티에 원피스 어깨끈 슬립 롱 슬림핏 파티,2022-3-29.,https://www.youtube.com/shorts/0ULwghxEzrA
DIY|셔츠 리폼|Recycling a Shirt| Dress|끈원피스|뷔스티에|치마Reform Old Your Clothes|안입는옷|옷만들기|옷수선|skirt|Refashion,2021-7-22.,https://www.youtube.com/watch?v=1lnPBPa4SUk
샤한 뷔스티에 원피스와 니트 가디건이 셋뚜셋뚜❣️❣️,2021-10-6.,https://www.youtube.com/watch?v=Fp40KkGNZy4
데님 뷔스티에 원피스 멜빵 롱 뒷트임 연청 루즈핏,2022-3-29.,https://www.youtube.com/shorts/-v0_Defm5O8
"행복여/베리 프릴 포인트 브이 라인 고방체크 뷔스티에 원피스/19,100원",2022-4-28.,https://www.youtube.com/shorts/qtYjfgv8gk8
"행복여 | 아우라 언발 캉캉 뷔스티에 세트 원피스 | 33,800원 | 라이브방송 | 오피스룩원피스 | 봄신상원피스",2022-1-17.,https://www.youtube.com/shorts/qcinRqCIgyo
"갓성비 쩌는 봄,여름 신상 하울🌷 추천템은 다 입어 봤어요👌에잇 세컨즈 신상 쓸어 담았습니다/롱원피스,뷔스티에원피스,린넨슬렉스,기본 이너티,와이드팬츠,가디건,정장 바지,니트 베스트",2022-4-16.,https://www.youtube.com/watch?v=RKSpsVFx9qo
바스락 맥시 뷔스티에 롱원피스(2컬러),2021-8-5.,https://www.youtube.com/shorts/YEcy3bCoObw
"미니스커트 어울리는 유형과 롱스커트 어울리는 유형의 차이점 (ft.한지민,박보영,신민아)//셜록뷰티🔎",2022-1-12.,https://www.youtube.com/watch?v=KxSCUBKolfE
역시 봄에 포기할 수 없는 원피스🌷 봄 원피스 입어봄🤍,2022-3-26.,https://www.youtube.com/watch?v=5euPgUK8_eQ
레이어드룩이 어렵다구요? 원칙 한개만 지켜주면 끝! 빈티지 입문자 백서📖,2021-5-29.,https://www.youtube.com/watch?v=l3JsFvjQeHE
157cm 원피스 쇼핑👗 같이해요🛒위시리스트 장바구니ㅣ최애브랜드&쇼핑몰ㅣ옷 고르는 팁ㅣ오버듀플레어.레이브.킨더살몬.시티브리즈.르누이.르에.프롬비기닝.지그재그,2022-4-24.,https://www.youtube.com/watch?v=k9nZfj2oLJs
오래된 원피스를 블랙핑크st 투피스로 리폼하는 법🪡| Recycling with me : Project.1 | SAIDA사이다,2022-1-18.,https://www.youtube.com/watch?v=d0jVigPCRSI
행복여 | 델리아 가슴레이스 플라워 뷔스티에 원피스 | 데일리 원피스 코디,2022-2-27.,https://www.youtube.com/shorts/N1Gsbk5eiiU
데일리앤 플리츠 뷔스티에 스트링 롱 원피스 드리밍,2022-4-21.,https://www.youtube.com/shorts/Lg8E8x8skmg
뷔스티에 원피스 블랙,2022-2-10.,https://www.youtube.com/shorts/lGoFvOIHwok
사계절 입을 수 있는 🌼어텀 모티브 뷔스티에 코바늘 옷 뜨기! / 코바늘 DIY키트/ 뜰안뜨개공방,2021-8-31.,https://www.youtube.com/watch?v=h664PcE5dno
티셔츠 뷔스티에 빅사이즈 원피스,2022-5-8.,https://www.youtube.com/shorts/X8ipfPh0p2E
DIY Upcycling Pants|바지리폼|Dress|원피스|뷔스티에|Recycling Old Your Clothes|안입는옷|치마|옷 만들기|면바지|Skirt|Refashion,2021-10-26.,https://www.youtube.com/watch?v=hyZPO5u5L38
[2-61]끈다리원피스(속치마)완성바느질,2021-6-12.,https://www.youtube.com/watch?v=1rcEOIAnhWc
"행복여 | 퍼퓸 레이스 배색 도트 땡땡이 셔링 롱 뷔스티에 원피스 | 16,000원 | 라이브방송 | 봄신상 | 데일리 원피스 레이어드 코디",2022-3-16.,https://www.youtube.com/shorts/XcUc5zLuK3A
브릴리 레이스 뷔스티에 원피스 - 팽지 모델,2022-3-8.,https://www.youtube.com/shorts/jjzcjaxr-dk
통통이들 모여라!!! 몸매커버 싹 되는 원피스 추천💖 이건 마술이야...😝,2021-7-17.,https://www.youtube.com/watch?v=MItSVn3P5n8
