,title,date,url,hashtag
1287,"봄 여름 체형별 남자 데님 추천! 5종👖                                   (연청, 중청, 청바지 핏, 와이드 데님, 크롭진)",2022-03-21,https://www.youtube.com/watch?v=mln2jeF1alo,
2893,지금 입기 좋은 초여름 코디 1분요약,2022-04-16,https://www.youtube.com/shorts/sLU84H_SSJo,
3552,뷔스티에원피스 (가볍고 따뜻한 실로 뜨고있어요~),2022-02-15,https://www.youtube.com/watch?v=kHSxIUagKwA,#뷔스티에원피스
13467,블라우스 패턴 / 모자달린 블라우스 패턴 ( 2편 앞판 ),2021-06-23,https://www.youtube.com/watch?v=L8yvygjlNho,#사파리만들기 #반소매셔츠패턴 #블라우스패턴
11798,3만9천원 ZARA 블루셔츠 4가지 코디방법 !,2022-02-09,https://www.youtube.com/watch?v=5cHDZ-LNwGA,#블루셔츠
3440,린넨 100% 여름 루즈핏 체크 셔츠 블라우스 여름블라우스 카라블라우스 반팔블라우스 린넨셔츠 데일리블라우스 흰색블라우스 더희즈 보웬 블룸,2021-06-07,https://www.youtube.com/watch?v=bow2sb_mJg0,
12097,오버핏 남방 어떻게 입을까?/부해보이는 오버핏을 날씬하게 보이는 코디법!,2022-03-30,https://www.youtube.com/watch?v=Anpr87cThkQ,#여행 #여행코디 #린넨 #린넨코디 #원피스 #나들이 #코디 #중년 #중년코디 #린넨자켓
6359,1년간 직접 써보고 뽑은 2021년 최고의 남자 아이템 총정리  | 클래씨,2022-01-02,https://www.youtube.com/watch?v=awSIKCX5skE,
4067,아이스 실크 캐주얼 팬츠#Shorts,2022-05-25,https://www.youtube.com/shorts/kHgs3hJTo1A,
15738,쥬얼버튼 블라우스의 럭셔리한 코디룩,2021-08-21,https://www.youtube.com/shorts/mWIHlYMQEp0,#빌리윌리 #가을코디 #쥬얼리 #쉬폰블라우스 #패션하울 #중년패션 #꾸안꾸 #데일리 #럭셔리 #데이트룩 #여행룩 #캐쥬얼 #꾸안꾸 #패션피플 #쥔장룩
3287,"[룩북 브이로그#3] 원피스만 6벌 가져왔어요❤️‍🔥 인생 바지 찾음..👖 168cm/64.5kg 데일리룩,데이트룩,여름코디",2021-07-29,https://www.youtube.com/watch?v=W9HIzP-SsZ8,
5356,또셔링셔츠원피스미디,2022-02-23,https://www.youtube.com/shorts/cAmebZKVlN0,
13774,롱원피스 올바른 상품! 알려드려요 추천 TOP10,2022-04-15,https://www.youtube.com/watch?v=hroFdv3UDPQ,#아이엠수 #대박난박양 #빼빼 #페이퍼먼츠 #대박난박양 #바블링브룩 #로지 #미쏘 #주디엘리
13299,후드무지원피스 착용샷,2021-07-05,https://www.youtube.com/shorts/eCe_TZtGHWg,
253,단체복 하이티 아노락 바람막이 201,2022-04-09,https://www.youtube.com/shorts/Z5XJyIW454w,
2829,[GC MADE] 코코밴딩팬츠(기모안감),2021-12-03,https://www.youtube.com/watch?v=hA3a3DBJSY4,
403,파브 워싱 연청 데님 팬츠,2021-06-22,https://www.youtube.com/shorts/TvqzzOYIuWg,
13210,롱스커트 19페이지 내무대전파시대,2022-01-02,https://www.youtube.com/watch?v=9qm1FY4JAhg,
6720,DIY Recycling a Shirt|셔츠 리폼|블라우스|Blouse|남방|안입는 옷 리폼|Reform Old Your Clothes|옷수선|옷만들기|Refashion|リフォーム,2021-09-19,https://www.youtube.com/watch?v=PIvud-d4qkM,#쉬운리폼 #핸드메이드 #쉽게만들기
3361,가을 겨울 아우터 딱 하나만 산다면 ‘파일럿 코트’를 추천합니다 [코트 증정 이벤트 있음] | 클래씨,2021-10-07,https://www.youtube.com/watch?v=yQFncsHpoz0,#남자겨울코디 #남자겨울아우터 #헨리코튼
40,스토 데님 일자 팬츠,2021-07-30,https://www.youtube.com/shorts/T4V5LMRrsFA,
4537,[다다PICK | 나른] 편안한 홈웨어부터 데일리룩까지!,2022-03-21,https://www.youtube.com/shorts/Xtrjl5_ISIE,#에브리웨어 #에브리웨어
10701,디스커버리 롱패딩 래스터G 2개나 있는이유 (구매 사이즈팁 / 주의점) RDS 구스다운 롱패딩 커플패딩 30만원대 패딩추천 블랙 라이트베이지,2022-01-17,https://www.youtube.com/watch?v=W1Lw4_Ca5bk,
15948,미니스커트만 입는 이유,2021-09-26,https://www.youtube.com/shorts/Z8ky9QOKo6g,
9705,바람막이 이거면 다됩니다 하나로 3계절 다되는 NSR 바람막이 NSR방풍자켓 NSR위례점,2022-02-25,https://www.youtube.com/watch?v=3bZA_UVFvww,
15093,프랑스린넨 원피스. 린넨원피스 예쁘게입기,2021-06-10,https://www.youtube.com/shorts/LoVcty0u0Ck,#빌리윌리 #여름옷 #여름원피스 #패션하울 #중년패션 #꾸안꾸 #데일리 #럭셔리 #데이트룩 #바캉스룩 #여행룩 #캐쥬얼 #꾸안꾸 #젊줌마 #패션피플 #쥔장룩 #린넨 #프랑스린넨원피스 #린넨원피스 #여름패션 #프랑스린넨
